epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.664,1.57483,0.81883,0.94643,0.59354,0.4843,0.48292,0.19404,2.06378,1.06641,1.09914,0.000541419,0.000541419,0.000541419
2,436.144,1.57961,0.83317,0.96186,0.51525,0.47353,0.45924,0.18385,2.115,1.12387,1.11393,0.00108622,0.00108622,0.00108622
3,653.751,1.60222,0.8534,0.96117,0.57316,0.44683,0.43309,0.17283,2.1538,1.19464,1.14004,0.00162003,0.00162003,0.00162003
4,871.425,1.61137,0.85304,0.97697,0.59102,0.47574,0.46071,0.18756,2.10436,1.12864,1.10208,0.00161749,0.00161749,0.00161749
5,1086.92,1.64869,0.87685,0.966,0.71967,0.46043,0.48201,0.19278,2.08681,1.13522,1.10184,0.00160099,0.00160099,0.00160099
6,1301.71,1.62616,0.85989,0.96986,0.58639,0.45873,0.45318,0.19009,2.10873,1.16455,1.10798,0.00158448,0.00158448,0.00158448
7,1517.23,1.63434,0.88321,0.96747,0.62456,0.44475,0.45929,0.19564,2.03001,1.14719,1.10423,0.00156798,0.00156798,0.00156798
8,1732.59,1.63578,0.87349,0.97531,0.58512,0.46012,0.46698,0.19051,2.09922,1.11799,1.10279,0.00155148,0.00155148,0.00155148
9,1948.08,1.62169,0.87442,0.96385,0.59376,0.47148,0.47109,0.19252,2.13336,1.13701,1.11762,0.00153497,0.00153497,0.00153497
10,2163.32,1.63679,0.86392,0.96528,0.59014,0.46071,0.47107,0.19284,2.0916,1.10684,1.11363,0.00151847,0.00151847,0.00151847
11,2379.47,1.6105,0.8499,0.96286,0.49662,0.458,0.43366,0.17754,2.19183,1.18479,1.14536,0.00150197,0.00150197,0.00150197
12,2595.43,1.59161,0.82809,0.96871,0.68952,0.45377,0.47121,0.19122,2.11361,1.11067,1.10942,0.00148546,0.00148546,0.00148546
13,2811.03,1.57933,0.82598,0.95717,0.57091,0.48282,0.47107,0.19789,2.06365,1.10965,1.09873,0.00146896,0.00146896,0.00146896
14,3026.17,1.58428,0.82684,0.97129,0.77433,0.44588,0.47508,0.20182,2.07073,1.14494,1.10185,0.00145246,0.00145246,0.00145246
15,3241.98,1.57124,0.81876,0.95762,0.5649,0.48298,0.45762,0.18284,2.1161,1.10463,1.11231,0.00143595,0.00143595,0.00143595
16,3457.53,1.62439,0.85555,0.94914,0.59911,0.46888,0.46302,0.18083,2.12952,1.13617,1.12763,0.00141945,0.00141945,0.00141945
17,3671.83,1.6184,0.85183,0.96618,0.63808,0.46895,0.47104,0.19586,2.05492,1.11941,1.1133,0.00140295,0.00140295,0.00140295
18,3886.71,1.63127,0.8514,0.96733,0.6502,0.48093,0.48725,0.19346,2.06434,1.08528,1.10099,0.00138644,0.00138644,0.00138644
